"i","p","lambda1","lambda2","lambda3","lambda4","mu1","mu3","q12","q13","q21","q23","q24","q31","q32","q34","q42","q43","p.1"
1,0.414906512191911,1619.41778641106,1267.22006414147,217.528054992355,0.0157865122579825,0.191461191442859,0.740625277790338,0.000301374985665145,0.00193765896393457,0.00171848001471626,0.00267560872031126,2.79474188586724e-05,0.000853042580127642,0.00184829251959566,5.35247472064895e-06,0.0123065937630007,1.05477127101395e-05,1803.60785798033
2,0.101133214775229,1619.86932445974,1288.05496624989,221.131210345927,0.0157924488907788,0.191461191442859,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803425,2.88247931440262e-05,0.00484645769438949,0.00184767449696065,5.33993524434204e-06,1.20895387494702,0.028475330282262,2194.92328474702
3,0.102003030773256,1619.82232779,1288.06906587543,221.13479139884,0.0157924488901415,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803425,2.88247931442867e-05,0.00484645769438949,0.00184767449696068,5.33993524434287e-06,1.20895387494702,0.028475330282262,2284.68131609186
4,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488900046,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803425,2.88247931442867e-05,0.00484645769438949,0.00184767449696068,5.33993524434287e-06,1.20895387453796,0.0284753302822335,2295.66079710227
5,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960917,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696068,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2302.26585758987
6,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696069,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2311.10040495546
7,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696069,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2311.30527553631
8,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696069,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2311.30527553631
9,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.0018476744969607,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2309.01303357945
10,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696069,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2311.42952850691
11,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696068,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2311.22465792607
12,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696068,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2311.78641578536
13,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.0018476744969607,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2309.35682258498
14,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.00184767449696069,5.33993524434246e-06,1.20895387453796,0.0284753302822397,2308.2691637955
15,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438955,0.0018476744969607,5.33993524434246e-06,1.20895387453796,0.0284753302822396,2308.99044804053
16,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488960914,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438956,0.0018476744969607,5.33993524434246e-06,1.20895387453796,0.0284753302803302,2307.57115565055
17,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488948018,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372807,0.0912775468803426,2.88247931443041e-05,0.00484645769438956,0.00184767449696069,5.33993524435844e-06,1.20895387453796,0.0284753302803625,2306.39330904515
18,0.10200303076047,1619.82232779,1288.06906587543,221.13479139884,0.0157924488121954,0.191461160796262,0.614471737225637,0.000981411003419808,0.000965212320009121,0.00174009068372806,0.0912775468803426,2.88247931443041e-05,0.00484645769438956,0.00184767449696069,5.33993524435807e-06,1.20895387453796,0.0284753302803621,2317.40954991773
